ids,parents,labels
TOT,,TOT
BIO,TOT,BIO
POP,TOT,POP
INC,TOT,INC
pop_EUR,POP,pop_EUR
pop_SAM,POP,pop_SAM
pop_NAM,POP,pop_NAM
pop_AFR,POP,pop_AFR
pop_JKA,POP,pop_JKA
pop_OTH,POP,pop_OTH
inc_EUR,INC,inc_EUR
inc_SAM,INC,inc_SAM
inc_NAM,INC,inc_NAM
inc_AFR,INC,inc_AFR
inc_JKA,INC,inc_JKA
inc_OTH,INC,inc_OTH
p_01,pop_EUR,E_Euro
p_02,pop_AFR,N_Afr
p_03,pop_AFR,SSA
p_04,pop_SAM,S_Amer
p_05,pop_JKA,AUS_NZ
p_06,pop_EUR,EU
p_07,pop_OTH,S_Asia
p_08,pop_SAM,CC_Amer
p_09,pop_AFR,S_Afr
p_10,pop_OTH,SE_Asia
p_11,pop_NAM,CAN
p_12,pop_NAM,US
p_13,pop_OTH,CHN_MNG
p_14,pop_OTH,M_East
p_15,pop_JKA,JPN_KR
p_16,pop_OTH,C_Asia
i_01,inc_AFR,E_Euro
i_02,inc_EUR,N_Afr
i_03,inc_AFR,SSA
i_04,inc_SAM,S_Amer
i_05,inc_JKA,AUS_NZ
i_06,inc_EUR,EU
i_07,inc_OTH,S_Asia
i_08,inc_SAM,CC_Amer
i_09,inc_AFR,S_Afr
i_10,inc_OTH,SE_Asia
i_11,inc_NAM,CAN
i_12,inc_NAM,US
i_13,inc_OTH,CHN_MNG
i_14,inc_OTH,M_East
i_15,inc_JKA,JPN_KR
i_16,inc_OTH,C_Asia
